position,mel,sim,sec
500000.0,-0.0006176005402011596,-0.018461356851449732,0.019078957391650893
510000.0,0.0002482546985164786,-0.018240672684045514,0.017992417985529037
520000.0,-0.0014268178257097928,-0.01646107432811034,0.01788789215382013
530000.0,-0.0021643522740013976,-0.016204552224289067,0.018368904498290466
540000.0,-0.0026287421024263134,-0.015403073250087157,0.018031815352513473
550000.0,-0.002201273915244707,-0.014981836978254727,0.017183110893499432
560000.0,-0.0016570691343356007,-0.015327676914891026,0.01698474604922662
570000.0,-0.0011506898404994722,-0.014587129445752066,0.015737819286251533
580000.0,-0.002196452936139994,-0.013414559652112995,0.015611012588252987
590000.0,-0.0023846639945711173,-0.013788168973927489,0.016172832968498602
600000.0,-0.002485757849030162,-0.013855917173994979,0.01634167502302514
610000.0,-0.002485757849030162,-0.013855917173994979,0.01634167502302514
620000.0,-0.002566490333204417,-0.01383211091603695,0.016398601249241362
630000.0,-0.0034469263720275888,-0.013998835557540008,0.017445761929567597
640000.0,-0.002205162073583128,-0.014046684492028623,0.016251846565611745
650000.0,-0.002118380375141063,-0.013786623091653622,0.015905003466794687
660000.0,-0.000897566482361805,-0.013337997241506017,0.014235563723867816
670000.0,-0.0002979252543079244,-0.013515234204388028,0.013813159458695951
680000.0,-0.0004725401289728776,-0.013273607052846819,0.013746147181819697
690000.0,-0.00011966203568805653,-0.013353002390554135,0.013472664426242193
700000.0,0.0008248867054535066,-0.014013536938638153,0.013188650233184648
710000.0,0.0009057034943762632,-0.013956920307034725,0.01305121681265846
720000.0,0.0018181513076537515,-0.012547915495859128,0.010729764188205372
730000.0,-0.00010185313883749235,-0.012180369449217247,0.012282222588054736
740000.0,0.0015588826372579221,-0.011999416354393473,0.010440533717135549
750000.0,0.0012492034588716496,-0.011155668628494719,0.009906465169623064
760000.0,0.0012534895615559228,-0.01139817867506655,0.010144689113510625
770000.0,0.0012534895615559228,-0.01139817867506655,0.010144689113510625
780000.0,0.001961035692443014,-0.011938557991189572,0.009977522298746556
790000.0,0.00217836339457961,-0.0121100091228114,0.009931645728231788
